parent_account,amount
66BEDF362948E3007CDBE,26
5429A01CE90FBFA42BA9A,26
5D3453904A5C2711B4F18,26
665F50CEEC179859FA6AA,25
5EEED697BA6296A50641B,25
CAAE10524D23828B6FC0E,25
1B597DCBB01BB35C341E5,25
BF37495F49783FCAF3892,25
2661B8E4DA8292FF737F3,25
380922A4C06EFAB3B65D5,25
E328726B2D57B1150706A,25
700F1C890D081C91793D6,24
F46BD1B5720BD4B829F1B,24
425EF51535563BE79F0AC,24
1A9121CF65B71D702798F,24
E30EA3FD57C642C9B3185,24
6A64AD6481FEFEDC92771,24
F1215C12B6EBDF3AD9C04,24
6BAC278B12C94412AAE37,23
3549D1CE0B55116045A89,23
C26B1FA653A80F9E6D558,23
DBBA34876AD4156BBB2FD,23
5C39FE3CC9C49A857D56A,23
67A5EB1AA330E6D3054F4,23
9306821C0672ABA67F3DE,23
ADA468B376E8F61501AC8,23
C9535CE11BCB681903A9E,23
65C15E31869DEC81E92B2,23
E4DC2730A231B98825868,23
8AEE6231BDEED7062E185,23
E3DB790A5BE64E7DB8429,22
4698DF4C04F272951EA04,22
9B80E798ABA368845FAC9,22
6374FA8A2DCC0D5372A18,22
4D56FEC474B63C8EDDA5B,22
F2FDA6DBB5F650EA5B81B,22
4A98D4A29593E23CA9F98,22
0D83AF4450A5490EF182C,22
F2EE3E22E56F07BCE1E96,22
221AC0C2D5957261ACA19,22
66749DACCEAF5EFDC9C28,22
6A5D421660BFC26DA4ED3,22
A86104FF87FF26DC077D6,22
8F48196E1C17325BD4962,22
E119B45856AAF02EBBC16,22
15734AFFFF152BAA2B4CA,21
96FF2BCF84E6D21FB3121,21
17C1A4E9626171F696842,21
F972D60D7AD4698410FBF,21
8C2FDA59F51B35B208602,21
89DB79C89B52AE0FCA62A,21
08C9509AE71702A146139,21
C8F171A33ECBC3BDFB43B,21
65A8C450BDA609DCF192E,21
98C704616EA876F8ADE9D,20
DBAE3E5E8A7CC166E2B39,20
41A790C7B32AA680355D3,20
32C57A20F22C4CCFFF784,20
FD6538769892A41F84AEB,20
0E3EF4A38CBC837F0A5BC,20
DAA19F8E87BDC983202CE,20
B71AFDF6CB0FB1919CC80,20
D9A401DB66F751141DDF5,20
9F34866EBE20D2D0196F8,20
09D994E13066B6D4A17A5,20
DDD4CE62970DC75D3B45B,19
9C8804BC4F1834BE2C1AD,19
0CF476F108D7375E10E5E,19
4C7FFC9449705CDDCA779,19
609FB06BA286657629A79,19
3A301567F5F268937FE15,19
FE06C5C855E0B3F0B3DC7,19
F6081E158894417B92B61,19
24B4D09514C8B6CB642F4,19
0995AC70ABBF8E9AB2D81,19
FA6D934F3A6DF06B70C1D,18
727FEFDDF9B68D7D3199D,18
A309E73B574AD9D0F56A7,18
FC60AB94F388C835299DD,18
03F7679BC1D995636EB8A,18
00B1223A881CB2016E80A,18
26E965C9885FDC140E571,18
A57665868BF8302C3342D,18
3E3B9F241CA0C9D204143,18
1E3C15F42BCFD94A070E1,18
F60790CD28CBD05D05A65,18
5EC56619AAF1A0121D9B7,18
49B97808C100551B0D8EF,18
9558F5B6AFA7468A53399,18
91B0B075FD5C6BA7E46CE,18
F933E9D0ABCAA84E43EF6,18
F92D4795DDA041B3FE34D,18
D10AEAD9EF1EF154195D7,18
48D8A5BB61A38498C76F6,18
893C0C911B8B01E8E55E9,18
F7D143C4D34FE091E94AA,18
D223CBB9875ED25918664,18
97CB3B7683B9674635AE9,17
234079B678DF2A962372B,17
190B317D3AA4F1E7BE36A,17
8B861C3BC0501B75A0FCC,17
BB5AAD3DBBBC8989BDF56,17
90B88A00382046AB6E30E,17
BD4090ABABAF31CB2DA37,17
B11722F43081C469271B2,17
D532FCB843B9BEF30430D,17
198ED00693F47316D2A2E,17
20094B146FFF018713246,17
AC9BBF559A2DC45F6DA64,17
B18623F1EBE8021CBA69A,17
024F7CC91C56A6237FE57,17
DC574A5E94C67E34033A2,17
6307C253FE99642E1561F,17
3F48F81458277A389592B,17
3DC7CD73C8342FEEA2C2A,17
60D9E0B84EE7F228AA0AB,17
DA623C3C13A9C5A4AE624,17
752E98E1D9DC19BC6496B,17
D99D6033CC5E23E04D76C,16
AC9DDA048316995EC816C,16
33E3B917E9328439C34B7,16
FC0BAF37B566CF9ACD77E,16
B65A71EFFD37B5E10300A,16
D1F1BFB147FE5B53C98E5,16
38CB013E254E4AA2E3295,16
6DE35DFD6F1B5D449F9CA,16
C505B4D63BF1F55F6C29B,16
FB96DAC2505EB35FDDB20,16
8C2917376F3AEAE4B8E84,16
D907351D6AB37ED51F1B8,16
281E59071BB3D454987B5,16
797258477CC40A1D15C0E,16
BF62E755DE533BE5AF198,16
B87D2C68C8335BB638FFA,16
7FFE1E0840891F24F528C,16
B2A5DD40275E58ADB1734,16
7A3B038C6DB888D15CA5A,15
19A182810A012041B826B,15
5CA7356CA4D3023613BE0,15
3002302BA00A019F477C3,15
CEF2336641DF228453DAF,15
87D6B5F45FDF2CC957343,15
88D7516727FAA31365FF5,15
68B2A1C2FB3754334A16F,15
FBEB7DAE98C6B90434153,15
6754A65821421D9B40FB2,15
9871D88D03A85B5D6EF93,15
62A84B06107F83D1C43B2,15
4B041F5BF09FF563FAF0C,15
716C5A37399ECE261E0EF,15
C1A1AE3A6661A4900C71B,15
9D30D397E5F9EBCC50E0D,15
54D8CD389A359D82CBF6A,15
71E6D452A9BF3C49C6BF0,15
54211A975B75EA261D327,15
17C229323C97750479876,15
9DCD302C4179EFD7D39F3,15
B203426A1DFA714A12FBA,15
3654C34913DADC1C107ED,15
A07DBB637FA44761E2F8F,15
44E688E4F7E9DD9FFAE6D,14
BE2D27F30D95810F6051A,14
31A53B30601F6E7DB0EFC,14
19F4675FB92CA09F0750D,14
0361A948CC62BDB597A4E,14
EB7EBE25253F568CD235B,14
BD1662F21008185C24390,14
F9D0D1D6E7EC7AF43B22F,14
5448854EDC6CDDEA65F9B,14
C5FAA94FA739CE06A9F8F,14
C82EE2412360212DE211F,14
0299CCC2E7558617D58BB,14
545005BE977413715ECE1,14
C7E7801F7E93D7B97521B,14
1F13564E65F978195CA89,14
C71D1F9F3FAC80B797109,14
BBB30DB56BC3177CD89AD,14
C3D5914523916CE6C5A88,14
599EE3C51576EDC6634F7,14
F03283A68C13614813FA1,14
5A963C9AF8A68698D5EFF,14
8FD717EF0CC6BC7AE7811,14
ABEA05BED725FB86762C4,14
2A5208C9D6FAD3E427546,14
81CEE0DFD6A74F3FCA47B,14
DEA78002B37343165F684,14
B352BD75020CA06E3351F,14
65D7C9194A3F0FE8E7866,14
07AC45CFB6E1850262425,14
